es_term,en_term
dipalmitoil-lecitina,DPPC
dipalmitoilfosfatidilcolina,DPPC
"1,2-dipalmitoilfosfatidilcolina",DPPC
enzima,Enzyme
ramificadora,Branching
"amilo-(1,4,6)-transglucosilasa",Branching Enzyme
gammacarboxiglutamato,1-Carboxyglutamic Acid
carboxiglutamato-gamma,1-Carboxyglutamic Acid
gamma,Gamma
carboxiglutamato,1-Carboxyglutamic
isobutilteofilina,IBMX
1-metil-3-isobutilxantina,IBMX
3-isobutil-1-metilxantina,IBMX
mptp,MPTP
metilfeniltetrahidropiridina,MPTP
(sustancia),MPTP
ciperquat,MPP+
1-metil-4-fenilpiridinio,MPP+
1-naftilamina,Naphthalidine
a-naftilamina,Naphthalidine
1-naftilisotiocianato,1-Naphthylisothiocyanate
alfa-naftilisotiocianato,1-Naphthylisothiocyanate
1-sar-8-ile-angiotensina,Sarile
1-sarcosina-8-isoleucina,Sarile
angiotensina,Angiotensin
11-hidroxicorticosteroides,11-Hydroxycorticosteroids
11-hidroxicorticoesteroides,11-Hydroxycorticosteroids
"16,16-dimetilprostaglandina",dmPGE2
beta-hidroxiesteroide,17
deshidrogenasas,17
hidroxicorticoides,17-hydroxycorticoid
17-hidroxicorticosteroide,17-hydroxycorticoid
17-hidroxiesteroide,17-Ketosteroid
17-oxosteroides,17-oxosteroid
17-oxisteroides,17-oxosteroid
17-oxiesteroide,17-oxosteroid
18-hidrocorticosterona,18-Hydrocorticosterone
18-hidroxicorticosterona,18-Hydrocorticosterone
18-hidroxidesoxicorticosterona,18-hydroxydeoxycorticosterone
19-yodocolesterol,19-Iodocholesterol
"2',3'-nucleótido",CNPase
cíclico,Cyclic
fosfodiesterasas,PDE
sintetasa,Synthetase
"2',5'-oligoadenilato",2-5A
polimerasa,2-5A
"2,2'-dipiridil",DIPYRIDYL
"2,2-bipiridina",DIPYRIDYL
"alfa,alfa-dipiridil",DIPYRIDYL
ácido,Acid
"2,3-dicetogulónico","2,3-Diketogulonic"
"2,4,5-t","2,4,5-T"
"2,4,5-tricloroactofenol","2,4,5-T"
"2,4,5-tricloroacetofenol","2,4,5-T"
"2,4-d","2,4-D"
"2,4-diclorofenoxiacético","2,4-D"
"2,6-dicloroindofenol","2,6-Dichloroindophenol"
"2,6-diclorofenolindofenol","2,6-Dichloroindophenol"
2-acetolactato,2-Acetolactate
mutasa,Mutase
2-acetamidofluoreno,2-AAF
2-acetilaminofluoreno,2-AAF
2-amino-5-fosfonovalerato,2-APV
2-amino-5-fosfonovalérico,2-APV
2-amino-5-fosfonopentanoico,2-APV
2-aminoadípico,2-Aminoadipic
alfa-aminoadípico,2-Aminoadipic
2-aminopurina,aminopurine
2-cloroadenosina,2-Chloroadenosine
2-hidroxi-5-nitrobencil,Koshland
bromuro,Br
bisnorefedrina,Bisnorephedrine
2-feniletanolamina,Bisnorephedrine
betafeniletanolamina,Bisnorephedrine
2-isopropilmalato,2-Isopropylmalate
sintasa,Synthase
mesna,MSA
2-naftilamina,2-Naphthylamine
b-naftilamina,2-Naphthylamine
20-hidroxiesteroide,20-Hydroxysteroid
"24,25-dihidroxivitamina","24,25(OH)2"
cyp27b1,CYP27B1
citocromo,CYP27B1
p-450,CYP27B1
calcidiol,CYP27B1
1-monooxigenasa,CYP27B1
25-hidroxivitamina,Ercalcidiol
fosfodiesterasa,Phosphodiesterase
"3',5'-amp",3
5'-nucleotidohidrolasa,3
"3',5'-gmp",CYCL
"3,3'-diaminobencidina","3,3 Diaminobenzidine"
3-3'diclorobencidina,DCB
3-3'diclorobenzidina,DCB
"3,3'-diclorobencidina",DCB
dopac,DOPAC
homoprotocatecuico,DOPAC
dihidroxifenilacético,DOPAC
droxidopa,DOPS
metilendioxianfetamina,MDA
"3,4-metilenodioxianfetamina",MDA
alanina,ala
beta-alanina,beta-alanine
3-desazauridina,DAU
meglutol,Meglutol
3-hidroxi-3-metilglutarico,Meglutol
betahidroxiacil,beta-Hydroxyacyl
3-hidroxiacil-coa,beta-Hydroxyacyl
3-hidroxiacil,beta-Hydroxyacyl
3-hidroxiantranílico,3-Hydroxyanthranilic
hidroxiprolina,NMH-Pro
3-hidroxiesteroide,3-hydroxysteroid
3-beta-hidroxiesteroide,3-hydroxysteroid
deshidrogenasa,Dehydrogenase
3-mercaptopropiónico,3-Mercaptopropionic
3-mercaptopropanoico,3-Mercaptopropionic
mhfe,MHPE
mofet,MHPE
metoxihidroxifeniletanol,MHPE
dosahexenoato,docosahexaenoate
paba,PABA
vitamina,Vitamin
fampridina,4-AP
dalfampridine,4-AP
4-aminopiridina,4-AP
"1,4-butanolida",GBL
4-butirolactona,GBL
gammabutirolactona,GBL
4-hidroxiaminoquinolina-1-óxido,4-Hydroxyaminoquinoline-1-oxide
4-hidroxiaminoquinolina-n-óxido,4-Hydroxyaminoquinoline-1-oxide
p-hidroxibenzoato,4-hydroxybenzoate
hidroxilasa,hydroxylase
4-hidroxibenzoato,4-hydroxybenzoate
3-hidroxilasa,p-Hydroxybenzoate
4-hidroxibutirato,GHB
hidroxibutanato,GHB
hidroxibutirato,GHB
4-hidroxicumarinas,4-Hydroxycoumarins
p-hidroxifenilpiruvato,P-Hydroxyphenylpyruvate
oxidasa,Oxidase
para-hidroxifenilpiruvato,P-Hydroxyphenylpyruvate
4-hidroxifenilpiruvato,4-hydroxyphenylpyruvate
dioxigenasa,dioxygenase
4-nitroquinolina-1-óxido,4-Nitroquinoline-1-oxide
4-nitroquinolina-n-óxido,4-Nitroquinoline-1-oxide
fosfatasa,Phosphatase
antígenos,Ag
"5,12-hete","5,12-HETE"
"5,12-dihete","5,12-HETE"
"5,6-dihidroxitriptamina","5,6-Dihydroxytryptamine"
"5,7-dihidroxitriptamina","5,7-Dihydroxytryptamine"
icosapento,EPA
eicosapentanoico,EPA
eicosapentaenoico,EPA
aeti,ETYA
etya,ETYA
"5,8,11,14-eicosatetrainoico",ETYA
"androstano-3,17-diol","Androstane-3,17-diol"
5-htp,5-HTP
oxitriptán,5-HTP
5-hidroxitriptófano,5-HTP
metilbufotenina,MeODMT
5-metoxitriptamina,Mexamine
clorhidrato,ticlopidine
ticlopidina,ticlopidine
aminocaproico,EACA
6-aminonicotinamida,6-AN
6-oxo-pgf1,6-Oxo-PGF1a
6-ceto-pgf1,6-Oxo-PGF1a
6-oxoprostaglandina,6-Oxo-PGF1a
tiopurina,MP
6-tiopurina,MP
mercaptopurina,MP
benzo(a)pireno,B(A)P
"7,8-dihidrodiol",BPDE
"9,10-epóxido",BPDE
"7,8-dihidro-7,8-dihidroxibenzo(a)pireno",BPDE
"9,10-óxido",BPDE
"7,8-dihidroxi-9,10-epoxi-7,8,9,10-tetrahidrobenzo(a)pireno",BPDE
7-etoxicumarina,Ethoxycoumarin
o-deetilasa,Ethoxycoumarin
o-dealquilasa,Ethoxycoumarin
7-alcoxicumarina,Ethoxycoumarin
"8,11,14-eicosatrienoico",DGLA
8-bromo-camp,BR CAMP
8-bromo-mfca,BR CAMP
oxina,Oxine
oxiquinol,Oxine
dmba,DMBA
"7,12-dimetilbenzantraceno",DMBA
"e7,12",DMBA
dimetilbenzantraceno,DMBA
fibras,a
calcimicina,Calcimycin
temefos,Temefos
temefós,Temefos
matadero,Abattoir
mataderos,Abattoir
desolladero,Abattoir
abreviatura,Abbreviation
abreviaturas,Abbreviation
abdomen,Abdomen
estructura,abd
abdominal,Abdominal
agudo,acute
calambre,Cramp
cólicos,ABDOMINAL
abdominales,ABDOMINAL
hinchado,Bloating
distendido,Bloating
tumor,Tumor
dolor,ACH
tripa,Tripe
músculos,Muscle
craneal,Craniad
nervio,Nerve
abducens,6n
acantocitosis,RBC barbed
abetalipoproteinemia,ABL
fusión,Fusion
congénita,At birth
anormal,Abnormal
radiografía,XR
reflejos,Reflexes
anormales,Reflexes
disgenesia,anomaly
deformidades,anomaly
malformaciones,anomaly
anomalías,MULTIPLE
múltiples,MULTIPLE
grupo,Group
sanguíneo,ABO
grupos,Group
sanguíneos,ABO
factor,ABO
factores,ABO
cuajar,Abomasum
abomaso,Abomasum
abortado,Abortus
inviable,Abortus
abortivos,abortifacient
droga,Substance
abortiva,abortifacient
agente,Agent
abortivo,abortifacient
esteroides,Nonsteroidal
esteroideos,Nonsteroidal
agentes,Steroid
aborto,Abortus
espontáneo,Spontaneous
interesados,Abortion
solicitantes,Abortion
antecedente,H/O:
demanda,demand
abortos,Abortion
índice,Index
encuesta,4
encuestas,4
ilegal,Illegal
criminal,Criminal
eugénico,eugenic
eugénicos,eugenic
habitual,Habitual
retenido,Keep
retención,Retention
fetal,Missed
incompleto,Subtotal
legal,Legal
diferido,Defer
séptico,Septic
terapéutico,THER
procedimiento,Procedure
amenaza,threaten
tubario,Tubal
tubárico,Tubal
veterinario,Vet
abreacción,Abreaction
abrino,Abrin
abrina,abrine
abruptio,PLACENTA
placentae,PLACENTA
hemorragia,PLACENTA
accidental,Unintended
absceso,Abscess
abscisina,Abscisin
abscísico,Abscisin
agenesia,Agenesis
(anomalía,Agenesis
morfológica),Agenesis
ausencia,Absence
ausentismo,Absenteeism
absentismo,Truant
absidia,Absidia
género,sex
absorciometría,Radiocalcium absorption study
fotón,photon
fotones,photon
resumen,Abstract
asunto,Abstract
redacción,Abstract
dhabi,Abu
pilares,DENT
dentales,DENT
soportes,DENT
acacia,Acacia
australiana,Acacia
hospital,Hospital
escuela,School
centro,Center
médico,Medical
académico,MED
centros,MED
médicos,DR
académicos,MED
problema,PROB
(hallazgo),school
academias,ACAD
institutos,institute
acanthamoeba,acanthameba
género:,acanthameba
queratitis,Keratitis
acantamoeba,Amoebic
acantocéfalo,Acanthocephala
acantocéfalos,Acanthocephala
acantocito,Spur cell
acantocitos,Spur cell
acantólisis,Acantholysis
acantolisis,Acantholysis
acantosis,Acanthosis
nigricans,Keratosis
acanthosis,Keratosis
acari,Acari
acarina,Acari
acarus,Acarus
(organismo),Acarus
partícula,Accelerated
acelerada,Accelerated
aceleración,Acceleration
aceleraciones,Acceleration
acelografía,ACCELOGR
espinal,Nerve
accidente,Accident
incendio,Fire storm
prevención,PREV
accidentes,PREV
prevenciones,PREV
propensión,Accident
caída,Fall
"caída,",Falls
falls,Falls
corte,slit
herida,Wound observable
cortante,Cut
avión,Air
aeronave,Aircraft
doméstico,Home
domésticos,Home
laboral,Occupational
industrial,INDUST
trabajo,Work
ocupacionales,OCCUP
viales,traffic
vehicular,Vehicular
habituado,adaptation
aclimación,adaptation
habituación,"Habituation, function"
acomodación,Lodging
ocular,Ocular
visual,Visual
contador,Counter
"contador,",Accountant
contabilidad,Accounting
pagos,Accounts
acreditación,Accreditation
acreditaciones,Accreditation
aculturación,Acculturation
acebutolol,acebutolol
dadds,DADDS
acedapsona,DADDS
diacetildapsona,DADDS
acenaftenos,Acenaphthenes
nicumalona,Nicumalon
acenocumarol,Nicumalon
acetacina,Acetazine
acetazina,Acetazine
acepromazina,Acetazine
acepromazine,acepromazine
maleate,acepromazine
(producto),acepromazine
acetabularia,Acetabularia
acetábulo,Acetabulum
acetaldehído,Ethanal
acetal,Acetal
acetales,Acetal
acetamidas,Acetamides
paracetamol,Paracetamol
acetanilida,Acetanilid
n-fenilacetamida,Acetanilid
acetanilidas,Acetanilides
acetato,Acetates
compuesto,Composite
acetocinasa,Acetokinase
cinasa,Kinase
quinasa,Kinase
acetatos,Acetates
acetazolamida,Acetazolamid
acético,HOAc
acetil,Acetic
óxido,rust
anhídrido,anhydride
anhídridos,anhydride
acéticos,Acetic
acetoacetatos,acetoacetate
acetobacter,Ulvina
acetohexamida,Acetohexamid
acetohidroxiácido,Acetohydroxyacid
acetoína,acetoin
acetilmetilcarbinol,acetoin
diacetil,Diacetyl
reductasa,EC 1
acetolactato,Acetolactate
acetona,Acetone
cuerpos,acetone
acetónicos,acetone
cianometano,Cyanomethane
cianometanos,Cyanomethane
acetonitrilos,Cyanomethane
acetofenonas,Acetophenones
acetoxiacetamidofluoreno,Acetoxyacetamidofluorene
acetoxifluorenilacetamida,Acetoxyacetamidofluorene
acetoxiacetilaminofluoreno,Acetoxyacetamidofluorene
acetrizoico,Urokonic
tiolasa,Thiolase
acetoacetil,Thiolase
3-cetotiolasa,3-Ketothiolase
betacetotiolasa,3-Ketothiolase
beta-cetotiolasa,3-Ketothiolase
acetil-coa,Acetyl CoA
carboxilasa,Carboxylase
acilasa,amidase
hidrolasa,Hydrolase
acetilcoenzima,Acetyl
tiocinasa,Acetothiokinase
acetato-coa,Acetothiokinase
ligasa,Ligase
acetilación,Acetylation
acetilaciones,Acetylation
acetilcarnitina,acetylcarnitine
carnitina,Carnitine
acetilcolina,ACh
colina,Hill
esterasa,EC 3.1
acetilcolinesterasa,AChE
inhibidor,AcCholE
inhibidores,AcCholE
acetilcisteína,NAC
acetildigitoxinas,Acetyldigitoxins
desglucolanatosidos,Acetyldigitoxins
acetildigoxinas,acetyldigoxin
etino,Ethyne
acetileno,Ethyne
acetilasa,Acetylase
acetilesterasa,Acetylase
acetilgalactosamina,Acetylgalactosamine
acetilglucosamina,D-GlcNAc
glucosamina,glucosamine
n-acetilglucosamina,D-GlcNAc
acetilglucosaminidasa,NAGase
n-acetil-beta-d-glucosaminidasa,NAGase
muramil,AMAIG
dipeptido,AMAIG
acetilmuramil-alanil-isoglutamina,AMAIG
acecainida,Acecainide
acetilprocainamida,Acecainide
hidroxiindol,HIOMT
o-metiltransferasa,HIOMT
acetilserotonina,HIOMT
metiltransferasa,Methyltransferase
acetiltiocolina,Acetylthiocholine
transacetilasa,Transacetylase
acetiltransferasa,Transacetylase
logro,Achievement
tendón,Tendon
calcáneo,Os calcis
aquiles,Achilles
aclorhidria,achylia
sapromyces,Sapromyces
acholeplasma,Sapromyces
mycoplasma,Bovimyces
laidlawii,Sapromyces
acholeplasmataceae,Saprophytaceae
familia,Family
acondrogénesis,Achondrogenesis
(trastorno),Achondrogenesis
acondroplasia,ACH
achromatiaceae,Achromatiaceae
achromatium,Achromatium
achromobacter,Achromobacter
achromobacteriaceae,Achromobacteriaceae
dnasa,Acid
ácida,Acid
grabado,ENGRAVING ENGRAVINGS
dental,Dental
lipasa,Lipase
fosfomonoesterasa,Phosphatase
lluvia,Rain
precipitación,Precipitation
equilibrio,Balance
ácido-base,pH
acidobásico,pH
desequilibrio,DYSEQUILIBRIA
balance,Balance
acidina,AcidinPepsin
pepsina,pepsin
acidosis,Acidosis
láctica,lactacidosis
atc,rta
tubular,Tubular
renal,Renal
respiratoria,RESPIRATORY
ácidos,Acid
acíclicos,Acyclic
aldehídicos,Aldehydic
carbocíclicos,carbocyclic
heterocíclicos,heterocyclic
nocarboxílicos,Noncarboxylic
carboxílicos,Noncarboxylic
acinetobacter,Acinetobacter
infecciones,MIMAE
mimae,MIMAE
infección,INFECT
acladiosis,Acladiosis
aclarubicina,ACM
común,Common
vulgar,Acne
queloide,Keloid
